X,Y,Theta,Wd,We,WdRef,WeRef,PwmD,PwmE,,,,,,,,,,,,,,,,,
0.00000,0.70000,0.00000,0.00000,0.00000,-0.00000,0.00000,-0.00000,0.00000,-13736.00000,,,,,,,,,,,,,,,,
0.00000,0.70000,0.00000,0.00000,0.00000,3.28000,3.28000,-0.00000,0.00000,14268.00000,,,,,,,,,,,,,,,,
0.00000,0.70000,0.00000,0.00000,0.00000,3.28000,3.28000,49.25000,49.25000,5884.00000,,,,,,,,,,,,,,,,
0.00000,0.70000,0.00000,0.00000,0.00000,3.28000,3.28000,49.25000,49.25000,-2596.00000,,,,,,,,,,,,,,,,
0.00000,0.70000,0.00000,0.00000,0.00000,3.28000,3.28000,68.95000,68.95000,-11084.00000,,,,,,,,,,,,,,,,
0.00000,0.70000,0.00000,0.03000,0.00000,3.28000,3.28000,68.95000,68.95000,-19608.00000,,,,,,,,,,,,,,,,
0.00000,0.70000,0.00000,0.00000,0.00000,3.28000,3.28000,88.21000,88.63000,-28244.00000,,,,,,,,,,,,,,,,
0.00000,0.70000,0.00000,0.03000,0.03000,3.28000,3.28000,88.21000,88.63000,28700.00000,,,,,,,,,,,,,,,,
0.00000,0.70000,0.00000,0.22000,0.00000,3.28000,3.28000,107.73000,107.91000,19972.00000,,,,,,,,,,,,,,,,
0.00000,0.70000,0.01000,0.33000,0.03000,3.25000,3.26000,107.73000,107.91000,11152.00000,,,,,,,,,,,,,,,,
0.00000,0.70000,0.02000,0.33000,0.00000,3.15000,3.16000,120.74000,125.63000,2240.00000,,,,,,,,,,,,,,,,
0.00000,0.70000,0.01000,0.84000,1.45000,2.95000,2.96000,120.74000,125.63000,-6504.00000,,,,,,,,,,,,,,,,
0.01000,0.70000,0.01000,1.95000,1.62000,3.25000,3.25000,131.51000,124.42000,-15392.00000,,,,,,,,,,,,,,,,
0.01000,0.70000,0.02000,2.95000,2.62000,3.13000,3.13000,131.51000,124.42000,-24380.00000,,,,,,,,,,,,,,,,
0.02000,0.70000,0.03000,3.79000,3.32000,2.89000,2.91000,108.86000,112.56000,32064.00000,,,,,,,,,,,,,,,,
0.03000,0.70000,0.03000,3.93000,3.68000,2.18000,2.38000,108.86000,112.56000,23004.00000,,,,,,,,,,,,,,,,
0.04000,0.70000,0.03000,3.88000,4.04000,1.80000,2.04000,77.47000,85.43000,13908.00000,,,,,,,,,,,,,,,,
0.05000,0.70000,0.03000,3.26000,3.21000,2.00000,2.22000,77.47000,85.43000,4972.00000,,,,,,,,,,,,,,,,
0.05000,0.70000,0.03000,2.57000,2.59000,1.91000,2.14000,76.32000,84.13000,-3904.00000,,,,,,,,,,,,,,,,
0.06000,0.70000,0.03000,2.40000,2.34000,1.93000,2.16000,76.32000,84.13000,-12772.00000,,,,,,,,,,,,,,,,
0.06000,0.70000,0.03000,2.12000,2.15000,1.85000,2.08000,80.23000,89.87000,-21688.00000,,,,,,,,,,,,,,,,
0.07000,0.70000,0.02000,1.14000,1.37000,1.87000,2.11000,80.23000,89.87000,-30588.00000,,,,,,,,,,,,,,,,
0.07000,0.70000,0.02000,1.14000,1.62000,2.20000,2.40000,101.03000,107.64000,26060.00000,,,,,,,,,,,,,,,,
0.07000,0.70000,0.02000,1.76000,1.42000,2.89000,2.91000,101.03000,107.64000,17120.00000,,,,,,,,,,,,,,,,
0.08000,0.70000,0.02000,2.20000,2.26000,2.47000,2.53000,102.23000,115.00000,8132.00000,,,,,,,,,,,,,,,,
0.08000,0.70000,0.02000,2.70000,2.68000,2.55000,2.59000,102.23000,115.00000,-816.00000,,,,,,,,,,,,,,,,
0.09000,0.70000,0.02000,3.07000,3.09000,2.50000,2.54000,92.67000,103.03000,-9732.00000,,,,,,,,,,,,,,,,
0.10000,0.70000,0.02000,2.90000,3.09000,2.52000,2.57000,92.67000,103.03000,-18680.00000,,,,,,,,,,,,,,,,
0.10000,0.70000,0.01000,2.87000,3.04000,2.76000,2.79000,92.54000,99.67000,-27660.00000,,,,,,,,,,,,,,,,
0.11000,0.70000,0.02000,2.90000,2.82000,2.92000,2.94000,92.54000,99.67000,28944.00000,,,,,,,,,,,,,,,,
0.12000,0.70000,0.02000,2.82000,2.68000,2.84000,2.86000,92.84000,103.08000,20004.00000,,,,,,,,,,,,,,,,
0.12000,0.70000,0.02000,2.84000,2.76000,2.67000,2.70000,92.84000,103.08000,11020.00000,,,,,,,,,,,,,,,,
0.13000,0.70000,0.02000,2.90000,2.96000,2.55000,2.59000,88.94000,100.11000,2036.00000,,,,,,,,,,,,,,,,
0.14000,0.70000,0.02000,2.84000,2.87000,2.61000,2.65000,88.94000,100.11000,-6888.00000,,,,,,,,,,,,,,,,
0.14000,0.70000,0.02000,2.84000,2.73000,2.64000,2.67000,88.53000,98.68000,-15868.00000,,,,,,,,,,,,,,,,
0.15000,0.70000,0.02000,2.73000,2.54000,2.45000,2.52000,88.53000,98.68000,-24816.00000,,,,,,,,,,,,,,,,
0.15000,0.70000,0.02000,2.59000,2.57000,2.07000,2.28000,80.43000,96.64000,31764.00000,,,,,,,,,,,,,,,,
0.16000,0.70000,0.02000,2.26000,2.34000,2.01000,2.23000,80.43000,96.64000,22832.00000,,,,,,,,,,,,,,,,
0.16000,0.70000,0.03000,2.29000,2.04000,2.13000,2.33000,84.41000,98.79000,13900.00000,,,,,,,,,,,,,,,,
0.17000,0.70000,0.03000,2.06000,2.09000,1.76000,2.01000,84.41000,98.79000,4988.00000,,,,,,,,,,,,,,,,
0.17000,0.70000,0.03000,1.95000,1.92000,1.79000,2.03000,81.44000,97.99000,-3880.00000,,,,,,,,,,,,,,,,
0.18000,0.70000,0.02000,1.84000,2.04000,1.74000,2.00000,81.44000,97.99000,-12720.00000,,,,,,,,,,,,,,,,
0.18000,0.70000,0.02000,1.92000,2.04000,1.98000,2.21000,86.09000,101.08000,-21624.00000,,,,,,,,,,,,,,,,
0.19000,0.70000,0.02000,2.06000,2.06000,2.14000,2.35000,86.09000,101.08000,-30560.00000,,,,,,,,,,,,,,,,
0.19000,0.70000,0.02000,2.01000,2.29000,2.13000,2.34000,85.80000,103.64000,26060.00000,,,,,,,,,,,,,,,,
0.20000,0.70000,0.01000,2.31000,2.45000,2.62000,2.65000,85.80000,103.64000,17124.00000,,,,,,,,,,,,,,,,
0.20000,0.70000,0.00000,2.12000,2.70000,2.78000,2.80000,92.16000,106.43000,8140.00000,,,,,,,,,,,,,,,,
0.21000,0.70000,-0.00000,2.31000,2.70000,3.18000,3.19000,92.16000,106.43000,-756.00000,,,,,,,,,,,,,,,,
0.21000,0.70000,-0.01000,2.45000,2.62000,3.28000,3.28000,102.42000,111.88000,-9660.00000,,,,,,,,,,,,,,,,
0.22000,0.70000,-0.01000,2.73000,3.07000,3.28000,3.28000,102.42000,111.88000,-18648.00000,,,,,,,,,,,,,,,,
0.23000,0.70000,-0.02000,2.96000,3.37000,3.22000,3.21000,101.08000,108.95000,-27724.00000,,,,,,,,,,,,,,,,
0.23000,0.70000,-0.02000,3.37000,3.40000,3.01000,3.00000,101.08000,108.95000,28752.00000,,,,,,,,,,,,,,,,
0.24000,0.70000,-0.02000,3.48000,3.35000,2.99000,2.97000,90.92000,101.20000,19696.00000,,,,,,,,,,,,,,,,
0.25000,0.70000,-0.02000,3.21000,3.09000,3.08000,3.06000,90.92000,101.20000,10676.00000,,,,,,,,,,,,,,,,
0.26000,0.70000,-0.01000,3.21000,2.98000,3.13000,3.12000,93.28000,105.48000,1684.00000,,,,,,,,,,,,,,,,
0.26000,0.70000,-0.01000,2.84000,2.87000,3.22000,3.21000,93.28000,105.48000,-7272.00000,,,,,,,,,,,,,,,,
0.27000,0.70000,-0.02000,2.57000,2.73000,3.21000,3.20000,99.42000,110.19000,-16276.00000,,,,,,,,,,,,,,,,
0.27000,0.70000,-0.02000,2.87000,2.96000,3.14000,3.13000,99.42000,110.19000,-25276.00000,,,,,,,,,,,,,,,,
0.28000,0.70000,-0.02000,3.07000,2.95000,3.09000,3.08000,99.45000,109.12000,31268.00000,,,,,,,,,,,,,,,,
0.29000,0.70000,-0.01000,3.09000,3.07000,3.15000,3.14000,99.45000,109.12000,22248.00000,,,,,,,,,,,,,,,,
0.29000,0.70000,-0.01000,3.15000,3.12000,3.16000,3.15000,98.40000,109.22000,13220.00000,,,,,,,,,,,,,,,,
0.30000,0.70000,-0.02000,3.15000,3.23000,3.17000,3.16000,98.40000,109.22000,4196.00000,,,,,,,,,,,,,,,,
0.31000,0.70000,-0.02000,3.21000,3.23000,3.13000,3.12000,97.46000,106.70000,-4776.00000,,,,,,,,,,,,,,,,
0.32000,0.70000,-0.02000,3.18000,3.21000,3.11000,3.10000,97.46000,106.70000,-13756.00000,,,,,,,,,,,,,,,,
0.32000,0.70000,-0.01000,3.40000,3.23000,3.09000,3.08000,96.34000,105.83000,-22784.00000,,,,,,,,,,,,,,,,
